Id,Label,Troll
1,"Sky Technologies, LLC",1
2,Techsearch L L C,1
7,GTE Southwest Incorporated,0
9,"Gateway, Inc.",0
11,Sandisk Corporation,0
20,"Thales e-Transactions, Incorporated",0
25,"Creative Labs, Inc.",0
34,"Phoenix IP, LLC",1
35,"Apple Computer, Inc.",0
37,Acer America Corporation,0
41,"Bright Response, LLC",1
46,Broadcom Corporation,0
56,"Townshend Intellectual Property, L.L.C.",1
59,Rates Technology Inc.,1
74,TV Interactive Data Corporation,1
77,"Traffic Information, LLC",1
83,Alltel Corporation,0
88,"Response Reward Systems, L.C.",1
93,United States Cellular Corporation,0
98,Pinpoint Incorporated,1
100,sony,0
105,sharp,0
106,"Card Activation Technologies, Inc.",1
107,"Parallel Networks, LLC",1
111,"Lexmark International, Inc.",0
116,General Electric Capital Services Inc,0
119,"Humana, Inc.",0
126,"Digital Reg of Texas, LLC",1
127,"Cullen/Frost Bankers, Inc.",0
132,"Freedom Wireless, Inc.",1
147,Yahoo! Inc.,0
152,Pilot Air Freight Corp.,0
156,Acticon Technologies LLC,1
158,wal-mart,0
159,"Millennium, L.P.",1
170,TDK Corporation,0
173,"CSC Holdings, Inc.",0
180,"T.M. Creditors, LLC",1
185,Bank of America Corporation,0
193,Tristrata Technology Inc.,1
225,Fujifilm Corporation,0
229,American Express Company,0
232,Screentone Systems Corporation,1
236,"Linex Technologies, Inc.",1
247,Target Corporation,0
252,Ricoh Americas Corporation,0
254,"Encyclopaedia Britannica, Inc.",1
256,"Arthur A. Collins, Inc.",1
264,Radioshack Corporation,0
265,VData LLC,1
273,"Cardiovascular Ventures, Inc.",1
282,"Civix-DDI, LLC",1
283,Papst Licensing GmbH & Co. (KG),1
304,"America Online, Inc.",0
310,Datascope Corp.,0
315,Soverain Software LLC,1
319,"Sears, Roebuck and Co",0
323,"Safer Display Technology, Ltd.",1
333,"NEC Technologies, Inc.",0
340,Safeco Corporation,0
344,"Konica Minolta Business Solutions U.S.A., Inc.",0
350,"z4 Technologies, Inc",1
351,Matsushita Electric Corporation of America,0
356,toyota,1
