Id,Label,Troll
5,"Gateway, Inc.",0
7,Sandisk Corporation,0
10,Regions Financial Corporation,0
12,Labyrinth Optical Technologies LLC,1
13,Digitude Innovations LLC,1
19,Hopewell Culture & Design LLC,1
22,"Harmonix Music Systems, Inc.",0
23,"Wolf Run Hollow, LLC",1
27,Double Rock Corporation,1
28,"Apple Computer, Inc.",0
29,Anu IP LLC,1
31,"Blockbuster, Inc.",0
39,"Avon Products, Inc.",0
42,"Motile Optics, LLC",1
43,"Townshend Intellectual Property, L.L.C.",1
46,"Zimmer, Inc.",0
48,"A9.com, Inc.",0
53,Boston Scientific Corporation,0
60,Match.Com LLC,0
61,"XO Communications, LLC",0
64,"Sprint Solutions, Inc.",0
66,"Evolved Wireless, LLC",1
67,"Elia Data of Texas, LLC",1
70,STMicroelectronics N.V.,0
76,"Acronis, Inc.",0
78,"Turner Digital Basketball Services, Inc.",0
80,"Oriental Trading Company, Inc.",0
82,"TigerDirect, Inc.",0
83,"Under Armour, Inc.",0
86,"E-MDs, Inc.",0
87,LifePort Sciences LLC,1
89,"Humana, Inc.",0
90,Hotels.com LP,0
96,"Leapfrog Enterprises, Inc.",0
97,Exelon Corporation,0
98,Blackboard Inc.,0
100,Summit 6 LLC,1
102,"Tumblr, Inc.",0
106,Eclipse IP LLC,1
108,"Travelocity.com, Inc.",0
109,Blue Water Investment LLC,1
114,"Harley-Davidson, Inc.",0
116,Joao Control & Monitoring Systems LLC,1
118,"Millennium, L.P.",1
120,Citibank (South Dakota) N.A.,0
123,"BMW of North America, LLC",0
128,"Capcom U.S.A., Inc.",0
129,"The TJX Companies, Inc.",0
135,"Super Micro Computer, Inc.",0
139,Webtech Wireless (USA) Inc.,0
140,"Barnes & Noble, Inc.",0
145,New Cingular Wireless Services Inc.,0
147,blackberry,0
150,"DSS Technology Management, Inc.",1
151,Polo Ralph Lauren Corporation,0
153,"Z-Dimensional, LLC",1
159,"Target Brands, Inc.",0
163,Bluestone Innovations Texas LLC,1
165,Screentone Systems Corporation,1
167,"Avisena, Inc.",0
168,"SolarWinds, Inc.",0
169,"Conn's, Inc.",0
178,EMC Corporation,0
182,"MySpace, Inc.",0
184,Realtime Data LLC,1
188,Reflection Code LLC,1
189,"VideoSqope, LLC",1
191,"QualiQode, LLC",1
196,"Cook Medical, Inc.",0
199,Advanced Optical Tracking LLC,1
218,Hyatt Hotels Corporation,0
220,Soverain Software LLC,1
221,"Digital Playground, Inc.",0
222,"Belkin International, Inc.",0
227,Yamaha Corporation (of America),0
228,JPMorgan Chase & Co.,0
229,Wistron InfoComm (Texas) Corporation,0
231,Phoenix Digital Solutions LLC,1
232,"Carucel Investments, L.P.",1
233,"NEC Technologies, Inc.",0
235,"EMSAT Advanced Geo-Location Technology, LLC",1
238,"Footlocker.com, Inc.",0
239,"Papa John's International, Inc.",0
240,Safeco Corporation,0
245,Red Pine Point LLC,1
246,"Bed Bath & Beyond, Inc.",0
250,"Telinit Technologies, LLC",1
253,"Chico's FAS, Inc.",0
256,toyota,1
257,"Realnetworks, Inc.",0
258,S.A.N. Nutrition Corp.,0
261,Compass Bank,0
262,The New York Times Company,0
264,Rmail Limited,1
268,ASUS Computer International,0
269,"Jaguar Land Rover North America, LLC",0
271,Lululemon Athletica Inc.,0
272,"Third Dimension Semiconductor, Inc",1
278,SmartDisk Corporation,1
280,Fleetmatics USA Inc,0
281,"Pizza Hut, Inc.",0
283,WebMD LLC,0
284,Papst Licensing GmbH & Co. KG,1
285,BB&T Corporation,0
286,huawei,0
288,"IP Co., LLC",1
289,"Eastbay, Inc.",0
290,"BMW Manufacturing Co., LLC",0
292,Vibrant Media Inc.,0
295,Fujifilm North America Corporation,0
297,"Communications Patents, Ltd.",1
300,M2M Solutions LLC,1
302,Cinemark USA Inc,0
306,Bluebonnet Telecommunications L.L.C.,1
313,"DataTern, Inc.",1
314,"Supersonic, Inc.",0
319,"Gymboree Retail Stores, Inc.",0
325,Kinglite Holdings Inc.,1
326,SmartPhone Technologies LLC,1
327,Document Generation Corporation,1
331,"PJC Logistics, LLC",1
332,"Roku, Inc.",0
335,"T.M. Patents, L.P.",1
337,UTC Fire & Security Corporation,0
338,Safeway Inc.,0
340,Quest Licensing Corporation,1
342,"Tendler Cellular of Texas, LLC",1
348,iLife Technologies Inc,1
349,"The Broadvox Holding Company, LLC",0
350,Paramount Pictures Corporation,0
351,"Magtek, Inc.",0
362,Mobile Transformation LLC,1
363,Wells Fargo & Company,0
366,InfoSonics Corporation,0
372,Verve L. L. C.,1
373,Service Reminder LLC,1
374,American Vehicular Sciences LLC,1
375,Bonutti Skeletal Innovations LLC,1
378,Canon Inc.,0
379,Express Card Systems LLC,1
381,Infineon Technologies AG,0
387,Viewsonic Corporation,0
388,Webvention Holdings LLC,1
390,"Starwood Hotels & Resorts Worldwide, Inc.",0
391,"WideOpenWest Finance, LLC",0
392,dell,0
394,Venadium LLC,1
396,"SoftVault Systems, Inc.",1
398,Vehicle IP LLC,1
399,"Virgin America, Inc.",0
401,Security Research Holdings LLC,1
409,"Mercedes Benz U.S. International, Inc.",0
412,ZTE (TX) Inc.,0
416,"Alcatel-Lucent Holdings, Inc.",0
417,"SFA Systems, LLC",1
418,"2-Way Computing, Inc.",1
422,Acacia Research Corporation,1
424,Source Inc,1
428,Ablaise Ltd.,1
429,MSI Computer Corp.,0
430,MCM Portfolio LLC,1
434,"Gateway Companies, Inc.",0
437,Opal Run LLC,1
438,Sapphire Dolphin LLC,1
440,CyberFone Systems LLC,1
441,"AI Automation, LLC",1
443,RCN Corporation,0
444,National City Bank,0
448,"Oakley, Inc.",0
450,"Altigen Communications, Inc.",0
451,"Hybrid Patents, Inc.,",1
456,Cablevision Systems Corporation,0
460,TD Bank US Holding Company,0
462,"Enfora, Inc.",0
463,Priceplay.com Inc.,1
472,"Barracuda Networks, Inc.",0
473,"Cascades Computer Innovation, LLC",1
474,Kohl's Corporation,0
475,"Canon Financial Services, Inc.",0
477,Oracle Corporation,0
482,"Analog Devices, Inc.",0
483,"Hybrid Audio, LLC",1
485,"Nordstrom, Inc.",0
486,"Honda Manufacturing of Alabama, LLC",0
488,"Marshall Feature Recognition, LLC",1
490,Etagz,1
494,"Lycos, Inc.",0
496,"Visa U.S.A., Inc.",0
497,"Wordtech Systems, Inc.",1
498,Nasty Gal Inc.,0
505,Acacia Patent Acquisition Corporation,1
509,"Phonetel Communications, Inc.",1
510,Fidelity Brokerage Services LLC,0
512,"Handspring, Inc.",0
515,Hulu LLC,0
522,ING Bank N.V.,0
524,Optical Devices LLC,1
525,Cathas Advanced Technologies LLC,1
527,Uniloc Luxembourg S.A.,1
528,"Hannspree North America, Inc.",0
532,Charter Communications Operating LLC,0
533,TD Ameritrade Holding Corporation,0
534,Omni Hotels Corp,0
535,"Zultys, Inc.",0
536,MediaTek Inc.,0
537,Burberry Limited,0
538,"Force Factor, LLC",0
539,Manufacturers and Traders Trust Company,0
542,"Twitter, Inc.",0
547,Alcatel-Lucent,0
552,"Kia Motors America, Inc.",0
554,Barnesandnoble.com Inc,0
558,"Tellabs, Inc.",0
560,Olympus Corporation,0
561,"Casio Computer Co., Ltd.",0
564,"Swipe Innovations, LLC",1
566,"Carbonite, Inc.",0
567,"Ricoh USA, Inc.",0
568,"LG Electronics, Inc.",0
569,"Fisher-Rosemount Systems, Inc.",0
570,Echostar Satellite LLC,0
571,Execware LLC,1
572,"Saks Direct, LLC",0
573,Telematics Corporation,1
575,Antennatech LLC,1
581,"DSW, Inc.",0
584,"BPS Direct, LLC",0
594,NFL Enterprises LLC,0
597,"Pollin Patent Licensing, LLC",1
598,21 srl,1
603,Brother International Corporation,0
605,"Blu Products, Inc.",0
606,"USB Technologies, LLC",1
607,"GSI Commerce, Inc.",0
609,"SP Technologies, LLC",1
610,Red Anvil LLC,1
612,Datatreasury Corporation,1
613,Wistron Corporation,0
614,Ingersoll-Rand Company,0
620,Archos S.A.,0
621,"SBC Internet Services, Inc.",0
624,"Redbox Automated Retail, LLC",0
626,National Semiconductor Corporation,0
628,CSC Holdings LLC,0
630,"MLR, LLC",1
632,"Express, Inc.",0
634,Hitachi Semiconductor (America) Inc.,0
638,"Presqriber, LLC",1
641,"Spanx, Inc.",0
642,Geovector Corporation,1
644,"Aerohive Networks, Inc.",0
645,Aiptek Inc.,0
651,Wayfair LLC,0
652,"Hudson Surgical Design, Inc.",1
658,"Citizens Financial Group, Inc.",0
662,"PetSmart, Inc.",0
663,"ChanBond, LLC",1
664,"Ramada Worldwide, Inc.",0
672,"Interactive Intelligence, Inc.",0
